# pixel vinkelx vinkely
544 -0.102092 0.000331
545 -0.101749 0.000331
546 -0.101406 0.000331
547 -0.101064 0.000331
548 -0.100721 0.000331
549 -0.100378 0.000331
550 -0.100036 0.000331
551 -0.099693 0.000331
552 -0.099350 0.000331
553 -0.099008 0.000331
554 -0.098666 0.000331
555 -0.098323 0.000331
556 -0.097981 0.000331
557 -0.097639 0.000331
558 -0.097297 0.000331
559 -0.096954 0.000331
560 -0.096612 0.000331
561 -0.096270 0.000331
562 -0.095928 0.000331
563 -0.095587 0.000331
564 -0.095245 0.000331
565 -0.094903 0.000331
566 -0.094561 0.000331
567 -0.094220 0.000331
568 -0.093878 0.000331
569 -0.093536 0.000331
570 -0.093195 0.000331
571 -0.092853 0.000331
572 -0.092512 0.000331
573 -0.092171 0.000331
574 -0.091829 0.000331
575 -0.091488 0.000331
576 -0.091147 0.000331
577 -0.090806 0.000331
578 -0.090465 0.000331
579 -0.090124 0.000331
580 -0.089783 0.000331
581 -0.089442 0.000331
582 -0.089101 0.000331
583 -0.088760 0.000331
584 -0.088419 0.000331
585 -0.088079 0.000331
586 -0.087738 0.000331
587 -0.087398 0.000331
588 -0.087057 0.000331
589 -0.086717 0.000331
590 -0.086376 0.000331
591 -0.086036 0.000331
592 -0.085695 0.000331
593 -0.085355 0.000331
594 -0.085015 0.000331
595 -0.084675 0.000331
596 -0.084335 0.000331
597 -0.083995 0.000331
598 -0.083655 0.000331
599 -0.083315 0.000331
600 -0.082975 0.000331
601 -0.082635 0.000331
602 -0.082295 0.000331
603 -0.081956 0.000331
604 -0.081616 0.000331
605 -0.081276 0.000331
606 -0.080937 0.000331
607 -0.080597 0.000331
608 -0.080258 0.000331
609 -0.079919 0.000331
610 -0.079579 0.000331
611 -0.079240 0.000331
612 -0.078901 0.000331
613 -0.078562 0.000331
614 -0.078222 0.000331
615 -0.077883 0.000331
616 -0.077544 0.000331
617 -0.077205 0.000331
618 -0.076866 0.000331
619 -0.076528 0.000331
620 -0.076189 0.000331
621 -0.075850 0.000331
622 -0.075511 0.000331
623 -0.075173 0.000331
624 -0.074834 0.000331
625 -0.074496 0.000331
626 -0.074157 0.000331
627 -0.073819 0.000331
628 -0.073480 0.000331
629 -0.073142 0.000331
630 -0.072804 0.000331
631 -0.072465 0.000331
632 -0.072127 0.000331
633 -0.071789 0.000331
634 -0.071451 0.000331
635 -0.071113 0.000331
636 -0.070775 0.000331
637 -0.070437 0.000331
638 -0.070099 0.000331
639 -0.069761 0.000331
640 -0.069424 0.000331
641 -0.069086 0.000331
642 -0.068748 0.000331
643 -0.068411 0.000331
644 -0.068073 0.000331
645 -0.067736 0.000331
646 -0.067398 0.000331
647 -0.067061 0.000331
648 -0.066724 0.000331
649 -0.066386 0.000331
650 -0.066049 0.000331
651 -0.065712 0.000331
652 -0.065375 0.000331
653 -0.065038 0.000331
654 -0.064701 0.000331
655 -0.064364 0.000331
656 -0.064027 0.000331
657 -0.063690 0.000331
658 -0.063353 0.000331
659 -0.063016 0.000331
660 -0.062680 0.000331
661 -0.062343 0.000331
662 -0.062006 0.000331
663 -0.061670 0.000331
664 -0.061333 0.000331
665 -0.060997 0.000331
666 -0.060660 0.000331
667 -0.060324 0.000331
668 -0.059988 0.000331
669 -0.059651 0.000331
670 -0.059315 0.000331
671 -0.058979 0.000331
672 -0.058643 0.000331
673 -0.058307 0.000331
674 -0.057971 0.000331
675 -0.057635 0.000331
676 -0.057299 0.000331
677 -0.056963 0.000331
678 -0.056627 0.000331
679 -0.056292 0.000331
680 -0.055956 0.000331
681 -0.055620 0.000331
682 -0.055285 0.000331
683 -0.054949 0.000331
684 -0.054614 0.000331
685 -0.054278 0.000331
686 -0.053943 0.000331
687 -0.053607 0.000331
688 -0.053272 0.000331
689 -0.052937 0.000331
690 -0.052602 0.000331
691 -0.052266 0.000331
692 -0.051931 0.000331
693 -0.051596 0.000331
694 -0.051261 0.000331
695 -0.050926 0.000331
696 -0.050591 0.000331
697 -0.050257 0.000331
698 -0.049922 0.000331
699 -0.049587 0.000331
700 -0.049252 0.000331
701 -0.048918 0.000331
702 -0.048583 0.000331
703 -0.048249 0.000331
704 -0.047914 0.000331
705 -0.047580 0.000331
706 -0.047245 0.000331
707 -0.046911 0.000331
708 -0.046577 0.000331
709 -0.046242 0.000331
710 -0.045908 0.000331
711 -0.045574 0.000331
712 -0.045240 0.000331
713 -0.044906 0.000331
714 -0.044572 0.000331
715 -0.044238 0.000331
716 -0.043904 0.000331
717 -0.043570 0.000331
718 -0.043236 0.000331
